time,power
1900-01-01 00:00:00,54.82471394016869
1900-01-01 00:05:00,60.04749909137622
1900-01-01 00:10:00,60.04749909137622
1900-01-01 00:15:00,62.48323745785866
1900-01-01 00:20:00,61.12484490732037
1900-01-01 00:25:00,61.12484490732037
1900-01-01 00:30:00,58.67973831635147
1900-01-01 00:35:00,55.08234011354664
1900-01-01 00:40:00,52.83396623679362
1900-01-01 00:45:00,50.34469515895992
1900-01-01 00:50:00,48.309113809828176
1900-01-01 00:55:00,45.28585393626564
1900-01-01 01:00:00,41.7326202203256
1900-01-01 01:05:00,38.613001466330786
1900-01-01 01:10:00,35.41609486032259
1900-01-01 01:15:00,31.352627489315836
1900-01-01 01:20:00,31.352627489315836
1900-01-01 01:25:00,28.253618829191268
1900-01-01 01:30:00,28.253618829191268
1900-01-01 01:35:00,24.794870348786205
1900-01-01 01:40:00,24.794870348786205
1900-01-01 01:45:00,22.324335719925458
1900-01-01 01:50:00,20.021759972929274
1900-01-01 01:55:00,20.021759972929274
1900-01-01 02:00:00,18.499423493877757
1900-01-01 02:05:00,18.171535636851274
1900-01-01 02:10:00,18.171535636851274
1900-01-01 02:15:00,17.78899980365371
1900-01-01 02:20:00,16.98489386856498
1900-01-01 02:25:00,16.98489386856498
1900-01-01 02:30:00,15.876320637665899
1900-01-01 02:35:00,14.236881352533501
1900-01-01 02:40:00,14.236881352533501
1900-01-01 02:45:00,13.037748618265212
1900-01-01 02:50:00,13.037748618265212
1900-01-01 02:55:00,12.363236455239317
1900-01-01 03:00:00,12.363236455239317
1900-01-01 03:05:00,11.801142986051062
1900-01-01 03:10:00,11.192208394430438
1900-01-01 03:15:00,11.192208394430438
1900-01-01 03:20:00,10.536432680377487
1900-01-01 03:25:00,10.536432680377487
1900-01-01 03:30:00,9.482507425649516
1900-01-01 03:35:00,9.482507425649516
1900-01-01 03:40:00,7.452725453580825
1900-01-01 03:45:00,7.398077477409728
1900-01-01 03:50:00,7.398077477409728
1900-01-01 03:55:00,8.197499300255245
1900-01-01 04:00:00,8.197499300255245
1900-01-01 04:05:00,8.49103700083134
1900-01-01 04:10:00,8.522264415786239
1900-01-01 04:15:00,8.522264415786239
1900-01-01 04:20:00,8.537878123263695
1900-01-01 04:25:00,8.537878123263695
1900-01-01 04:30:00,7.304395232545019
1900-01-01 04:35:00,7.304395232545019
1900-01-01 04:40:00,6.039684926871445
1900-01-01 04:45:00,5.730533518817907
1900-01-01 04:50:00,5.730533518817907
